"About Your Order","About Your Order"
"Gift Card Information","Gift Card Information"
"Card Type","Card Type"
"Card Description","Card Description"
"Expires After (days)","Expires After (days)"
"Allow Message","Allow Message"
"Allow Open Amount","Allow Open Amount"
"Open Amount Min Value","Open Amount Min Value"
"Open Amount Max Value","Open Amount Max Value"
"Allow Delivery Date","Allow Delivery Date"
"Gift Cart type has been changed from %from to %to by %name","Gift Cart type has been changed from %from to %to by %name"
"Do not Show","Do not Show"
"Show Headline Field Only","Show Headline Field Only"
"Show Message Field Only","Show Message Field Only"
"Show Headline and Message Fields","Show Headline and Message Fields"
"Custom Message Fields","Custom Message Fields"
"Gift Card Code Pattern","Gift Card Code Pattern"
"Code Length","Code Length"
"Excluding prefix, suffix, and separators","Excluding prefix, suffix, and separators"
"Code Format","Code Format"
"Code Prefix","Code Prefix"
"Code Suffix","Code Suffix"
"Dash Every X Characters","Dash Every X Characters"
"If empty no separation","If empty no separation"
"Alphanumeric","Alphanumeric"
"Alphabetic","Alphabetic"
"Numeric","Numeric"
"Manage Code Pools","Manage Code Pools"
"Code Pools","Code Pools"
"Are you sure you want to delete the selected code pools?","Are you sure you want to delete the selected code pools?"
"Manage Pool Codes","Manage Pool Codes"
"General Information","General Information"
"Name","Name"
"Code Pattern","Code Pattern"
"This pool no longer exists","This pool no longer exists"
"Edit Code Pool","Edit Code Pool"
"New Code Pool","New Code Pool"
"Code pool could not be deleted","Code pool could not be deleted"
"Code pool was successfully deleted","Code pool was successfully deleted"
"A total of %1 code pool(s) have been deleted","A total of %1 code pool(s) have been deleted"
"Code pool was successfully saved","Code pool was successfully saved"
"Something went wrong while saving the code pool","Something went wrong while saving the code pool"
"Code was successfully deleted","Code was successfully deleted"
"A total of %1 code(s) have been deleted","A total of %1 code(s) have been deleted"
"Number of Codes to Generate","Number of Codes to Generate"
"Import From Csv File","Import From Csv File"
"Delete","Delete"
"Are you sure you want to delete the selected codes?","Are you sure you want to delete the selected codes?"
"Are you sure you want to delete a "${ $.$data.code }" code?","Are you sure you want to delete a "${ $.$data.code }" code?"
"Delete "${ $.$data.code }"","Delete "${ $.$data.code }""
"Number of Codes","Number of Codes"
"Codes Left","Codes Left"
"Generated codes %1 of %2","Generated codes %1 of %2"
"Imported codes %1 of %2","Imported codes %1 of %2"
"Code Pool","Code Pool"
"if selected pool is empty a new code will be generated as per pool configuration","if selected pool is empty a new code will be generated as per pool configuration"
"Use pattern from","Use pattern from"
"Apply Gift Card Code","Apply Gift Card Code"
"Apply","Apply"
"Enter Gift Card Code","Enter Gift Card Code"
"Notice","Notice"
"Missing a required field: %1","Missing a required field: %1"
"Missing required value %1 in row %2","Missing required value %1 in row %2"
"Code %1 already in use","Code %1 already in use"
"Gift Card code %1 already in use","Gift Card code %1 already in use"
"Verification error while importing data. Details are available in log file: %1","Verification error while importing data. Details are available in log file: %1"
"Imported codes %1 of %2. Details are available in log file: %3","Imported codes %1 of %2. Details are available in log file: %3"
"Something went wrong while importing codes to pool","Something went wrong while importing codes to pool"
"Something went wrong while generating codes into pool","Something went wrong while generating codes into pool"
"Gift Code Created","Gift Code Created"
"Import Codes","Import Codes"
"From Csv File","From Csv File"
"Pool","Pool"
"Upload","Upload"
"Gift Card Headline","Gift Card Headline"
""Open Amount Max Value" must be greater than "Open Amount Min Value".",""Open Amount Max Value" must be greater than "Open Amount Min Value"."
"Gift Card code ""%1"" is not valid anymore and has been canceled","Gift Card code ""%1"" is not valid anymore and has been canceled"
