"Product online status","Product online status"
"Product Alerts","Product Alerts"
"Manage Stock","Manage Stock"
Yes,Yes
No,No
"Use Config Settings","Use Config Settings"
[GLOBAL],[GLOBAL]
Qty,Qty
"Out-of-Stock Threshold","Out-of-Stock Threshold"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Qty Uses Decimals","Qty Uses Decimals"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
Backorders,Backorders
"Notify for Quantity Below","Notify for Quantity Below"
"Enable Qty Increments","Enable Qty Increments"
"Qty Increments","Qty Increments"
"Stock Availability","Stock Availability"
"WYSIWYG Editor","WYSIWYG Editor"
Cancel,Cancel
Submit,Submit
"Credit Amount","Credit Amount"
"Lifetime Sales","Lifetime Sales"
"Average Orders","Average Orders"
"Total Products","Total Products"
Amount,Amount
Orders,Orders
Sales,Sales
Title:,Title:
Uploaded:,Uploaded:
Uploader:,Uploader:
Duration:,Duration:
"Basic Settings","Basic Settings"
"Advanced Settings","Advanced Settings"
"Changes have been made to this section that have not been saved.","Changes have been made to this section that have not been saved."
"This tab contains invalid data. Please resolve this before saving.","This tab contains invalid data. Please resolve this before saving."
"Configure Product","Configure Product"
OK,OK
"Select type of option.","Select type of option."
"Please add rows to option.","Please add rows to option."
"Please select items.","Please select items."
"Choose existing category.","Choose existing category."
"Create Category","Create Category"
"Video Error","Video Error"
"Unknown video type","Unknown video type"
"Invalid video url","Invalid video url"
"Youtube API key is invalid","Youtube API key is invalid"
"Video cant be shown due to the following reason: ","Video cant be shown due to the following reason: "
"Video not found","Video not found"
Save,Save
"Edit Video","Edit Video"
"Delete video","Delete video"
"Images and Videos","Images and Videos"
"Previous Page","Previous Page"
"Next Page","Next Page"
