"The list of the posts by that author","The list of the posts by that author"
"%1 doesn\'t implement %2","%1 doesn\'t implement %2"
"Given provider doesn\'t implement %1","Given provider doesn\'t implement %1"
"Job Position","Job Position"
"No categories data provided.","No categories data provided."
"Add Subcategory","Add Subcategory"
"Add Root Category","Add Root Category"
"Something went wrong. A total of %1 record(s) were changed.","Something went wrong. A total of %1 record(s) were changed."
"Assign to Author","Assign to Author"
"Are you sure to assign selected posts to author?","Are you sure to assign selected posts to author?"
"By ","By "
"A photo of %1","A photo of %1"
"LinkedIn ID","LinkedIn ID"
"Facebook ID","Facebook ID"
"Facebook ID is incorrect.","Facebook ID is incorrect."
"LinkedIn ID is incorrect.","LinkedIn ID is incorrect."
"<![CDATA[if @ symbol is missing, we add it automatically.]]>","<![CDATA[if @ symbol is missing, we add it automatically.]]>"
"<![CDATA[www.facebook.com/<your profile ID>]]>","<![CDATA[www.facebook.com/<your profile ID>]]>"
"<![CDATA[www.linkedin.com/in/<your profile ID>]]>","<![CDATA[www.linkedin.com/in/<your profile ID>]]>"
"Add Blog To Main Navigation Menu","Add Blog To Main Navigation Menu"
"If you disable this option, make sure to add a link to the blog in the footer links or anywhere else at your choice. Otherwise, Blog will be accessible only via a direct link.","If you disable this option, make sure to add a link to the blog in the footer links or anywhere else at your choice. Otherwise, Blog will be accessible only via a direct link."
"All Categories","All Categories"
"PREVIOUS","PREVIOUS"
"NEXT","NEXT"
